SchoolCode,Phase,School,AddressLine1,AddressLine2,AddressLine3,PostCode,X_REF,Y_REF,Telephone,Email,Website,Headteacher,NumberOfPupils,NumberOfPlacesAvailable,Area,AgeRangeMinimum,AgeRangeMaximum,Nearest,"Non Nearest","Priority 1A","Priority 1B","Priority 2","Priority 3","Priority 4","Priority 5",Allocated,"EHCP / Statement",LAC,"Nearest Placed","Non Nearest Placed",Placed,SEN,Siblings,Notes,"Better Access","Breakfast Club","Childrens Centre","Cycle Storage","Designated School Bus","Free Foundation Education","Fully integrated early education","Out of School Care","Parents Waiting Shelter","Reduction in Car Travel","Road Safety Training","Safe Route to School","School Crossing Patrol","School Travel Plan","SIF Required","Special Needs","Walking Initiative","Yellow Bus"
4112,Secondary,"Garforth Academy","Lidgett Lane",Garforth,Leeds,"LS25 1LJ",440183,432482,"0113 212 7127",info@garforthacademy.org.uk,http://www.garforthacademy.org.uk,"Mr P West",1956,300,E,11,18,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,1
2336,Primary,"Gildersome Primary School","Town Street",Gildersome,Leeds,"LS27 7AB",424463,429108,"0113 201 2450",Head@gildersomeprimary.org.uk,http://www.gildersomeprimary.org.uk,"Mrs C Hoyle",242,60,S,3,11,,,,,,,,,,,,,,,,,,1,,1,1,,,,1,1,,1,,1,1,,,1,
2428,Primary,"Gledhow Primary School","Lidgett Lane",,Leeds,"LS8 1PL",431619,437508,"0113 293 0392",info@gledhowschool.org,http://www.gledhow.leeds.sch.uk,"Mr S Archer",424,60,NE,3,11,0.395,,1,,26,,31,,,1,,,,,,,,,,,1,,1,1,1,1,1,1,,1,1,,1,1,1
2447,Primary,"Grange Farm Primary School","Barncroft Rise",,Leeds,"LS14 1AX",434807,436965,"0113 293 0120",admin.manager@grangefarm.leeds.sch.uk,http://www.grangefarm.leeds.sch.uk/,"Ms K Atkins",415,60,E,3,11,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
3925,Primary,"Great Preston Church of England Primary School","Preston Lane","Great Preston",Leeds,"LS26 8AR",440405,429162,"0113 214 6816",simpsod08@brigshawtrust.com,http://www.greatpreston-pri.leeds.sch.uk,"Ms D Simpson",209,30,E,4,11,0.536,0.646,1,,18,,10,1,,,,,,,,,,1,,1,1,,1,,,1,,1,,1,1,,,1,
2396,Primary,"Green Lane Primary Academy","Ribblesdale Avenue",Garforth,Leeds,"LS25 2JX",441808,432720,"0113 212 7107",info@glpa.org.uk,http://www.glpa.org.uk,"Mrs T Prince",348,50,E,3,11,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,,1,,,1,,,1,
2499,Primary,"Greenhill Primary School","Gamble Hill Drive",,Leeds,"LS13 4JJ",424994,433676,"0113 263 5271",info@greenhill.leeds.sch.uk,http://www.greenhill.leeds.sch.uk/,"Mrs A M Reeve",348,60,W,3,11,0.355,0.52,3,,28,,19,10,,,,,,,,,,,,,1,,1,,1,1,,1,,1,1,,,,
2473,Primary,"Greenmount Primary School","Lodge Lane",,Leeds,"LS11 6BA",429549,431303,"0113 276 0771",info@greenmountprimary.co.uk,http://www.greenmountprimary.co.uk,"Ms J Wilde",393,60,S,3,11,0.343,0.268,,,37,,15,8,,,,,,,,,,1,,,1,,1,,,1,1,1,,,1,,,1,
2303,Primary,"Greenside Primary School",Chapeltown,Pudsey,Leeds,"LS28 8NZ",421964,432904,"0113 257 4509",info@greenmountprimary.co.uk,http://www.greenside.leeds.sch.uk,"Mrs C Morgan",316,45,W,4,11,0.345,0.33,1,,24,,13,7,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,1,,,1,
2448,Primary,"Grimes Dyke Primary School","Stanks Drive",,Leeds,"LS14 5BY",436557,436704,"0113 294 1066",info@grimesdyke.leeds.sch.uk???????,http://www.grimesdyke.leeds.sch.uk,"Miss L Hill",206,30,E,3,11,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,1,1,1,1,,1,,
2270,Infant,"Guiseley Infant and Nursery School","Oxford Road",Guiseley,Leeds,"LS20 9DA",419097,442252,"0194 387 3359",office@guiseleyinfants.org.uk,http://www.guiseleyinfants.org.uk/,"Mrs M G Bell",270,90,NW,3,7,0.871,0.47,,,28,,30,2,,,,,,,,,,1,1,1,,,1,1,1,1,1,1,1,1,1,,,1,
4108,Secondary,"Guiseley School","Fieldhead Road",Guiseley,Leeds,"LS20 8DT",418677,441738,"0194 387 2315",info@guiseleyschool.org.uk,http://www.guiseleyschool.org.uk,"Mr P Morrissey",1309,225,NW,11,18,,,,,,,,,,,2,,,,,104,,,,,1,,,,,,1,,,,1,,,,1
2449,Primary,"Harehills Primary School","Darfield Road",,Leeds,"LS8 5DQ",432097,435211,"0113 235 0539",info@harehills.leeds.sch.uk,http://www.harehills.leeds.sch.uk/,"Mrs M Broughton",630,90,E,3,11,0.267,1.36,,,47,,16,27,,,,,,,,,,1,1,,1,1,1,,,,,1,1,1,1,,,1,
3037,Primary,"Harewood Church of England Primary School","Harrogate Road",Harewood,Leeds,"LS17 9LH",432200,445085,"0113 288 6394",office@harewood.leeds.sch.uk,http://www.harewood-leeds.frogprimary.com,"Mr R Madeley",111,15,NE,4,11,2.863,2.977,,,6,,3,6,,,,,,,,,,,,,,,,,1,1,,1,,,1,,,,
3351,Primary,"Hawksworth Church of England Primary School (Voluntary Aided)","Main Street",Guiseley,Leeds,"LS20 8NX",416508,441784,"0194 387 2808",admin@hawksworthceprimary.org,http://www.hawksworthceprimary.org/,"Mr Norris",100,15,NW,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,,,
2417,Primary,"Hawksworth Wood Primary School","Cragside Walk",,Leeds,"LS5 3QE",425247,437304,"0113 258 3984",a.padden@hwood.org.uk,http://www.hawksworthwood.leeds.sch.uk,"Ms A Padden",211,30,NW,4,11,0.226,,,,17,,13,,,,,,,,,,"Not all nearest allocated",1,1,1,,,1,1,,1,,,,,1,,1,,
2438,Primary,"Highfield Primary School","Sandringham Green",,Leeds,"LS17 8DJ",431232,439574,"0113 293 0155",admin@highfield.leeds.sch.uk,http://www.highfield-primary.co.uk,"Mrs J Colley",393,60,NE,4,11,0.29,,1,,34,,25,,,,,,,,,,"Not all nearest allocated",,,,,,,,1,1,,1,,,1,,,,
2292,Primary,"Hill Top Primary School","Batley Road","West Ardsley",Leeds,"WF3 1HD",428040,424516,"0113 307 4750",office@hilltopprimary.org.uk,http://www.hilltopprimary.org.uk,"Ms Hyans",210,30,S,3,11,0.771,1.258,,,8,,13,9,,,,,,,,,,1,,,1,,1,,1,1,1,1,1,1,1,,,1,
2014,Primary,"Hillcrest Community Primary School","Cowper Street",,Leeds,"LS7 4DR",431273,435505,"0113 262 4080",,http://www.hillcrest.leeds.sch.uk,"Jane Kent",402,60,NE,3,11,,,,,,,,,,,,,,,,,,,1,,1,,1,,,1,1,1,,,1,,,,
3922,Primary,"Hollybush Primary School","Broad Lane",,Leeds,"LS13 2JJ",425330,435352,"0113 386 2470",school@hollybushprimary.org,http://www.hollybushprimaryschool.org.uk/,"Mr D Kenny",385,60,W,3,11,0.407,1.056,,,25,,25,10,,,,,,,,,,,,1,1,,1,1,,1,,1,,1,1,,,,
3372,Primary,"Holy Family Catholic Primary School (Voluntary Aided)","Parliament Road",,Leeds,"LS12 2LH",427711,433408,"0113 279 7572",office@holyfamilyleeds.co.uk,http://www.holyfamilyleeds.co.uk,"Mr P McQuillen-Strong",201,30,W,3,11,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,,,1,1,,1,
3380,Primary,"Holy Name Catholic Primary School (Voluntary Aided)","Otley Old Road",,Leeds,"LS16 6NF",426123,439068,"0113 293 6444",holyname@holynameleeds.co.uk,http://www.holynameprimary.org.uk,"Mr A Duffy",203,30,NW,4,11,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,1,,,1,1,,1,1
3383,Primary,"Holy Rosary and St Annes Catholic Primary School (Voluntary Aided)","Leopold Street",,Leeds,"LS7 4AW",430819,435196,"0113 336 8433",secretary@st-annes.leeds.sch.uk,http://www.holyrosaryandstannes.org.uk,"Mrs E McDonagh-Smith",207,30,NE,3,11,,,,,,,,,,,,,,,,,,1,1,,1,,1,,1,,1,1,,,1,1,,1,1
2283,Primary,"Horsforth Featherbank Primary School",Featherbank,Horsforth,Leeds,"LS18 4QP",423713,437497,"0113 214 4811",info@featherbank.leeds.sch.uk,http://www.featherbank.leeds.sch.uk,"Mrs K Rhodes",154,30,NW,4,11,0.332,,,,9,,21,,,,,,,,,,"Not all nearest allocated",1,,,1,,,,1,1,,,,,1,,,1,
2363,Primary,"Horsforth Newlaithes Primary School","Victoria Crescent",Horsforth,Leeds,"LS18 4PT",423255,436973,"0113 258 8645",headteacher@stf.newlaithes.co.uk,http://www.newlaithes.co.uk,"Mrs J Blacoe",387,60,NW,4,11,0.692,0.782,2,,31,,12,15,,,,,,,,,,,,,,,1,,1,1,,1,1,,1,,,1,
4115,Secondary,"Horsforth School (Academy)","Lee Lane East",Horsforth,Leeds,"LS18 5RF",423723,438495,"0113 226 5454",info@horsforthschool.org,http://www.horsforthschool.org,"Mr S Jex MEd BSc (Econ)",1412,225,NW,11,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3038,Primary,"Horsforth St Margarets Church of England Primary School","Town Street",Horsforth,Leeds,"LS18 5BL",423837,438210,"0113 386 2520",stringm01@leedslearning.net,http://www.stmargarets.leeds.sch.uk/,"Mr A M Wiley",409,60,NW,3,11,0.23,0.461,,,37,,7,16,,,,,,,,,,1,,,1,,1,1,1,1,1,1,,,1,,,1,
2334,Primary,"Horsforth West End Primary School","West End Lane",Horsforth,Leeds,"LS18 5JP",422906,438391,"0113 258 2819",westendschool@leedslearning.net,http://www.westendprimary.org.uk,"Mrs L A Wadkin",253,30,NW,3,11,0.584,0.44,,,14,,14,1,,1,,,,,,,,1,,,1,,1,1,1,1,1,1,,,1,,,1,
2450,Primary,"Hovingham Primary School","Hovingham Avenue",,Leeds,"LS8 3QY",432405,435642,"0113 248 9537",kim.andrews@hovingham.org,http://www.hovingham.leeds.sch.uk/,"Ms J Spence",454,60,E,3,11,0.415,0.479,,,39,,20,1,,,,,,,,,,1,1,,,,1,,,1,,1,,1,1,,,,
2483,Primary,"Hugh Gaitskell Primary School (Foundation)","St Anthony's Drive",,Leeds,"LS11 8AB",428563,430640,"0113 271 6963",sue.richardson@hg-ps.org,http://www.hughgaitskell.leeds.sch.uk,"Mrs M Beesley",454,90,S,3,11,,,,,,,,,,,,,,,,,,,1,,1,,,1,,1,1,1,1,,1,,,,
2474,Primary,"Hunslet Carr Primary School","Woodhouse Hill Road",,Leeds,"LS10 2DN",431201,430724,"0113 271 3804",christine.rayner@hunsletcarr.co.uk,http://www.hunsletcarr.leeds.sch.uk,"Mr P Tyson",344,50,S,3,11,,,,,,,,,,,,,,,,,,1,1,,1,,1,,,1,1,1,1,,1,,,1,
2475,Primary,"Hunslet Moor Primary School","Fairfold Avenue",,Leeds,"LS11 5EL",430153,431367,"0113 271 7257",headteacher@hunsletmoor.leeds.sch.uk,http://www.hunsletmoor.leeds.sch.uk/,"Miss H Darley",310,45,S,3,11,0.262,1.094,,,23,,11,11,,,,,,,,,,1,1,,,,1,,,1,1,1,1,1,1,,,1,
3914,Primary,"Hunslet St Marys Church of England Primary School (Voluntary Aided)","Church Street",Hunslet,Leeds,"LS10 2QY",431179,431347,"0113 271 7204",karen.shields@hunsletstmarys.co.uk,http://www.hunsletstmarys.co.uk,"Mr M Ford",208,30,S,4,11,,,,,,,,,,,,,,,,,,,1,1,1,,,,,1,,1,,,1,1,,1,
3381,Primary,"Immaculate Heart of Mary Catholic Primary School (Voluntary Aided)","292 Harrogate Road",,Leeds,"LS17 6SX",430602,438020,"0113 336 8690",school.office@ihomcps.co.uk,http://www.immaculate-heart-of-mary.leeds.sch.uk,"Mr S Dudgeon",411,60,NE,4,11,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,1,,,1,1,,1,
2476,Primary,"Ingram Road Primary School","Brown Lane East",Holbeck,Leeds,"LS11 9LA",428832,432071,"0113 245 6136",info@ingramroad.leeds.sch.uk,http://www.ingramroad.leeds.sch.uk/,"Miss S Millard",268,45,S,3,11,,,,,,,,,,,,,,,,,,1,1,,1,,1,,1,1,1,1,,,1,,,1,
2420,Primary,"Ireland Wood Primary School (Foundation)","Raynel Gardens",,Leeds,"LS16 6BW",426077,439670,"0113 267 8032",info@irelandwood.leeds.sch.uk,http://www.irelandwood.leeds.sch.uk,"Mr I Blackburn",300,60,NW,4,11,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,1
2410,Primary,"Iveson Primary School (Foundation)","Iveson Rise",,Leeds,"LS16 6LW",426108,438667,"0113 225 6868",office@iveson-primary.co.uk,http://www.iveson-primary.co.uk,"Mrs D Mann",204,45,NW,3,11,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,1,,,1,,,1,1
4055,Secondary,"John Smeaton Academy","Smeaton Approach","Barwick Road",Leeds,"LS15 8TA",437308,435598,"0113 831 3900",enquiries@johnsmeatonacademy.org.uk,http://www.johnsmeatonacademy.org.uk,"Mr D Yates",960,180,E,11,18,,,,,,,,,148/180,,1,,,,,49,,,,,1,,,,,,,1,1,,1,,,,1
2434,Primary,"Kerr Mackie Primary School","Gledhow Lane",,Leeds,"LS8 1NE",432135,437069,"0113 336 8499",office@kmps.org.uk,http://www.kerrmackie-primary-school.org.uk/,"Mrs A Ronicle",420,60,NE,4,11,0.421,0.644,,,34,,13,13,,,,,,,,,,1,,,1,1,1,,,,1,1,1,,1,,,1,1
2011,Primary,"Khalsa Science Academy Free School","192A Chapeltown Road",,Leeds,"LS7 4HZ",430978,436111,"0113 887 3680",info@khalsascienceacademy.org.uk,http://www.khalsascienceacademy.org.uk/,"Mark Scott",210,30,NE,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
2801,Primary,"Kippax Ash Tree Primary School (Foundation)","Gibson Lane",Kippax,Leeds,"LS25 7JL",441894,430482,"0113 385 0680",secretary@kippaxashtree.leeds.sch.uk,http://www.kippaxashtree.leeds.sch.uk,"Ms Campbell",326,60,E,3,11,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,1,,1,,1,1,,,1,
2384,Primary,"Kippax Greenfield Primary School (Foundation)","Ebor Mount",Kippax,Leeds,"LS25 7PA",441468,430609,"0113 287 6195",kgpsoffice@brigshawtrust.com,http://www.schoolswire.co.uk/public/kippax78.html.nocache,"Mrs K Moleele",168,30,E,4,11,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,1,,1,1,,,,
2399,Primary,"Kippax North Junior, Infant and Nursery School (Foundation)","Brexdale Avenue",Kippax,Leeds,"LS25 7Ej",440932,431517,"0113 286 9427",deatonh01@brigshawtrust.com,http://www.kippaxnorth.leeds.sch.uk,"Mrs B Clark",179,30,E,3,11,0.306,1.021,,,17,,2,11,,,,,,,,,,1,1,,1,,1,1,1,1,1,1,1,1,1,,,1,
3904,Primary,"Kirkstall St Stephens Church of England Primary School (Voluntary Aided)","Morris Lane",,Leeds,"LS5 3JD",426431,435805,"0113 382 1960",contactus@kirkstallss.net,http://www.kirkstall-st-stephens.leeds.sch.uk,"Mr S Viles",200,30,NW,4,11,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,1,,1,,1,1,1,,1,
2411,Primary,"Kirkstall Valley Primary School","Argie Road",,Leeds,"LS4 2QZ",427295,434761,"0113 887 8982",info@kirkstallvalley.org.uk,http://www.kirkstallvalley.leeds.sch.uk,"Ms Mitchell",186,30,NW,3,11,0.237,1.09,,,11,,7,12,,,,,,,,,,1,1,,1,,1,,1,1,,1,,,1,,,1,
5200,Primary,"Lady Elizabeth Hastings Church of England Primary School, Ledston (Voluntary Aided)","Green Lane",Ledston,Wakefield,"WF10 2BD",443243,428780.2,"0197 755 7758",lehoffice@brigshawtrust.com,http://www.ladyehastings.leeds.sch.uk,"Mrs K Dews (acting)",139,20,E,4,11,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,1,,1,1,,,1
3356,Primary,"Lady Elizabeth Hastings Church of England Primary School, Thorp Arch (Voluntary Aided)","Dowkell Lane","Thorpe Arch",Wetherby,"LS23 7AQ",443332,446217,"0193 784 2566",helen.obridge@thorparch-leh.co.uk,http://www.ladyhastings-thorparch.leeds.sch.uk,"Ms S Ulyett",132,20,NE,4,11,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,1,1,,1,1,,,1
2000,Primary,"Lane End Primary School (Foundation)","Beeston Road",Holbeck,Leeds,"LS11 6TP",429704,432054,"0113 271 7969",office@laneendprimary.co.uk,,"Mrs Williams",0,60,S,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2497,Primary,"Lawns Park Primary School","Chapel Lane",,Leeds,"LS12 5EX",425093,432247,"0113 263 7364",info@lawnspark.net,http://www.lawnspark.net/,"Ms R Ford",212,30,W,3,11,0.955,0.261,,,12,,12,6,,,,,,,,,,1,,,,,,,1,,1,1,1,,1,,,,
4006,Secondary,"Lawnswood School","Ring Road","West Park",Leeds,"LS16 5AG",426728,437859,"0113 284 4020",school@lawnswoodschool.co.uk,http://www.lawnswoodschool.co.uk,"Mr S White",1300,270,NW,11,18,,,,,,,,,195/270,,,,,11,1,63,,,,,1,,,,,,,,,,1,,,1,
4066,Secondary,"Leeds Jewish Free School","Wentworth Avenue",,Leeds,"LS17 7TN",430181,439856,"0113 269 3176",admin@ljfs.org,http://www.ljfs.org,"Jeremy Dunford",0,25,NE,7,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
6906,Secondary,"Leeds West Academy","Intake Lane",Rodley,Leeds,"LS13 1DQ",422930,435410,"0113 229 5454",info@leedswestacademy.org.uk,http://www.leedswestacademy.org.uk,"Mrs A Hall",900,240,W,11,18,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,1
2412,Primary,"Little London Community Primary School (Foundation)","Meanwood Street",,Leeds,"LS7 1SR",430415,434799,"0113 244 2457",office@littlelondonprimary.co.uk,http://www.littlelondon.leeds.sch.uk,"Mrs J Wood",298,90,NW,4,11,,,,,,,,,,,,,,,,,,1,1,1,,,1,1,1,1,1,1,,,1,,,1,
2481,Primary,"Low Road Primary School","Belinda Street",Hunslet,Leeds,"LS10 2PS",431475,431469,"0113 271 6051",jayne.kellett@musicfederation.co.uk,http://www.musicfederation.co.uk/,"Mrs S Sumpner",131,20,S,3,11,0.248,,,,11,,9,,,,,,,,,,"Not all nearest allocated",1,1,,,,1,,,1,,1,,,1,,,1,
2496,Primary,"Lower Wortley Primary School","Lower Wortley Road",,Leeds,"LS12 4PX",426476,431942,"0113 386 2530",admin@lwps.org.uk,http://www.lowerwortley-pri.leeds.sch.uk/,"Mrs B Giles",303,45,W,3,11,0.346,,,,,,,,,,,,,,,20,"Not all nearest allocated",,,,1,,1,,1,1,1,1,1,,1,,,,
2365,Primary,"Lowtown Primary School","Kent Road",Pudsey,Leeds,"LS28 9BB",422888,433466,"0113 256 7303",admin@pudseylowtown.org.uk,http://www.pudseylowtown.leeds.sch.uk/,"Ms C Downham",211,30,W,4,11,0.45,,1,,16,,13,,,,,,,,,,"Not all nearest allocated",,,,,,,,1,1,1,1,,1,1,,,,
2464,Primary,"Manston Primary School","Dennil Road",,Leeds,"LS15 8SD",436599,435401,"0113 264 5445",manston.primary@manston.leeds.sch.uk,http://www.manstonprimary.co.uk,"Mrs P Quick",190,30,E,4,11,0.521,0.44,,,14,,14,2,,,,,,,,,,,1,,1,,,,,1,1,1,,,1,,,1,1
3910,Primary,"Manston St James Church of England Primary Academy","Sandbed Lane",,Leeds,"LS15 8JH",436615,435165,"0113 273 9180",info@manston-st-james.leeds.sch.uk,http://www.manston-st-james.leeds.sch.uk,"Mr M Edwards",420,60,E,4,11,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,1,,,1,1,,1,
3923,Primary,"Meadowfield Primary School (Foundation)","Halton Moor Avenue",,Leeds,"LS9 0JY",433677,433227,"0113 336 8010",linda.mackie@meadowfieldclc.org,http://www.meadowfieldclc.org,"Mr R Mellard",397,60,E,3,11,0.455,,,,30,,30,,,,,,,,,,"Not all nearest allocated",,,1,1,,1,1,1,1,1,1,1,1,1,,,1,
3907,Primary,"Meanwood Church of England Primary School (Voluntary Aided)","Green Road",,Leeds,"LS6 4LD",428207,437316,"0113 275 5883",helen.sanderson@meanwood.leeds.sch.uk,http://www.meanwoodschool.co.uk,"Mrs H Sanderson",214,30,NW,4,11,,,,,,,,,,,,,,,,,,1,,,1,,,,1,,1,1,,,1,1,,1,
3916,Primary,"Methley Primary School","Savile Road",Methley,Leeds,"LS26 9HT",439966,427035,"0113 386 2540",tracy.dell@methley-pri.leeds.sch.uk,http://www.methley-pri.leeds.sch.uk/,"Ms T Dell",432,60,S,3,11,0.835,1.987,2,,,,,,,,,,,,,26,,1,,,1,,1,,1,1,,1,1,1,1,,,1,1
3040,Primary,"Micklefield C.E. Primary School","Great North Road",Micklefield,Leeds,"LS25 4AQ",444371,433284,"0113 336 8668",office@micklefieldceprimary.co.uk,http://www.micklefieldprimary.org.uk,"Mrs G Dodsworth",76,20,E,3,11,,,,,,,,,,,,,,,,,,1,1,,1,,1,,,1,1,1,1,1,1,,,1,
2477,Primary,"Middleton Primary School (Foundation)","Middleton Park Avenue",,Leeds,"LS10 4HU",429892,427449,"0113 271 7969",info@middletonprimary.net,http://www.middletonprimary.net,"Ms S Williams",366,60,S,4,11,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,1,,1,,,1,,1,1,
3053,Primary,"Middleton St Marys Church of England Primary School","Moor Flatts Road",,Leeds,"LS10 3SW",430132,428331,"0113 271 7206",enquiries@middletonstmarys.co.uk,http://www.middletonstmarys.co.uk,"Ms S Graham",390,60,S,3,11,0.401,0.997,,1,26,,14,19,,,,,,,,,,1,1,,1,,1,,,1,,1,,1,1,,,1,
3930,Primary,"Mill Field Primary School","Potternewton Mount",,Leeds,"LS7 2DR",429766,436461.3,"0113 262 0021",office@mfprimary.com,http://www.mfprimary.com/,"Mr S Watkins",368,60,NE,3,11,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,1,1,1,,,,1,,,1,
2439,Primary,"Moor Allerton Hall Primary School","Lidgett Lane",,Leeds,"LS17 6QP",431470,438221,"0113 336 8350",office@moorallertonhall.leeds.sch.uk,http://www.moorallertonhall.leeds.sch.uk,"Ms L McKay",385,60,NE,3,11,,,,,,,,,,,,,,,,,,1,,,,,1,,1,1,,1,,,1,,,,
2440,Primary,"Moortown Primary School","Shadwell Lane",,Leeds,"LS17 6DR",430872,438853,"0113 268 5915",office@moortown.leeds.sch.uk,http://www.moortown.leeds.sch.uk,"Mr D Roundtree",205,30,NE,4,11,0.338,,,,13,,17,,,,,,,,,,"Not all nearest allocated",1,1,,1,,1,,,1,1,1,1,1,1,,,1,
4101,Secondary,"Morley Academy","Fountain Street",Morley,Leeds,"LS27 0PD",425947,427447,"0113 253 2952",info@morley.leeds.sch.uk,http://www.morley.leeds.sch.uk,"Mr J A Townsley BA (Hons) NPQH",1578,252,S,11,18,,,,,,,,,,,4,90,152,,,90,,,,,1,1,,,,,,,,,1,,,1,
2321,Primary,"Morley Newlands Primary School","Wide Lane",Morley,Leeds,"LS27 8PG",427624,428034,"0113 323 1890",enquiries@morleynewlands.leeds.sch.uk,http://morleynewlands.leeds.sch.uk/,"Mr A Stygall",414,90,S,4,11,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,1,1,1,,1,1,,,1,
2382,Primary,"Morley Victoria Primary School","Victoria Road",Morley,Leeds,"LS27 9NW",426018,428288,"0113 253 5253",office@morleyvictoria.org.uk,http://www.morleyvictoriaprimary.org.uk,"Mr R H J Elstub",414,60,S,3,11,0.377,0.349,1,,18,,31,9,,1,,,,,,,,,,,,,1,,1,1,1,1,,,1,,,1,
4753,Secondary,"Mount St Marys Catholic High School (Voluntary Aided)","Ellerby Road",,Leeds,"LS9 8LA",431264,433164,"0113 245 5248",hehub@mountstmarys.org,http://www.mountstmarys.org,"Mr M Cooper",909,180,E,11,16,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,1,,1,1,,,
3927,Primary,"New Bewerley Community School","Bismarck Drive",,Leeds,"LS11 6TB",430016,431677,"0113 887 8718",secretary@newbewerley.org.uk,http://www.newbewerley.leeds.sch.uk,"Mr P Wilkins",374,60,S,4,11,0.17,0.463,1,,29,,4,25,,1,,,,,,,,,,1,1,,1,1,1,1,,1,1,1,1,,,1,
2012,Primary,"Nightingale Academy","Stanley Road",,Leeds,"LS9 7AX",432106,434804,"0746 714 6874",headteacher@nightingale.coop,http://www.nightingale.coop,"Ms Ingram",0,60,NE,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
2397,Primary,"Ninelands Primary School (Foundation)","Ninelands Lane",Garforth,Leeds,"LS25 1NT",441099,432702,"0113 287 8370",ffice@ninelands-school.co.uk,http://www.ninelands-school.co.uk,"Mrs J Sabourn",450,60,E,3,11,,,,,,,,,,,,,,,,,,1,,,1,,1,,1,,,1,1,1,1,,,1,
2010,Primary,"Oakwood Primary School","North Farm Road",,Leeds,"LS8 3LZ",433161,435311,"0113 240 2526",office@oakwood.coop,http://www.oakwoodleeds.org.uk,"Miss R Ingram",428,60,E,3,11,0.61,0.413,2,,30,,22,7,,,,,,,,,,,1,,1,,1,,,1,1,1,,,1,,,,
2513,Primary,"Otley All Saints Church of England Primary School","Lisker Drive",Otley,Leeds,"LS21 1DF",420981,445208,"0194 346 4703",office@otleyallsaints.co.uk,p://www.otleyallsaints.co.uk,"Mr I Thomson-Smith",210,30,NW,3,11,0.838,2.265,1,,9,,11,9,,,,,,,,,,1,,,1,,1,,1,1,,1,,,1,,,1,
2405,Primary,"Otley The Whartons Primary School","The Whartons",Otley,Leeds,"LS21 2BS",420373,446901,"0194 346 5018",info@whartonsprimary.co.uk,http://www.whartonsprimary.co.uk,"Ms Dickson",198,30,NW,4,11,,,,,,,,,,,,,,,,,,1,,,1,,,,1,1,,1,,,1,,,1,
2327,Primary,"Oulton Primary School","Green Lea",Oulton,Leeds,"LS26 8NT",435835,428799,"0113 214 6303",joanne.smithson@oulton.leeds.sch.uk,http://www.oulton.ik.org,"Ms J Smithson",316,60,S,3,11,,,,,,,,,,,,,,,,,,1,1,,1,,,1,1,,1,1,1,,1,,,1,
3376,Primary,"Our Ladys Catholic Primary School (Voluntary Aided)","Pigeon Cote Road",,Leeds,"LS14 1EP",435102,436668,"0113 214 4123",administrator@ourladys.org,http://www.ourladyscatholicprim.org.uk,"Mrs S Flaherty",210,30,E,3,11,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,,1,,1,1,,1,1,,1,
2488,Primary,"Park Spring Primary School","Wellstone Avenue",,Leeds,"LS13 4EH",423971,433677,"0113 255 2526",office@parkspringprimary.co.uk,http://www.parkspringprimary.co.uk,"Mrs R Horan",249,45,W,3,11,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,1,1,,1,,,1,
2005,Primary,"Park View Primary Academy","Harlech Road",,Leeds,"LS11 7DG",429513,430893,"0113 271 6754",info@parkviewpa.org.uk,http://www.parkviewpa.org.uk,"Ms E Pickard",210,30,S,3,11,0.17,,,,18,,12,,,,,,,,,,"Not all nearest allocated",1,1,,,,1,,,,1,1,,,1,,,,
